---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-63  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-00  D 2C205  D 45A2D  D 5BF05  D 2FE04  D 5F104  F#5F104  A 5F104  D 5F13C  D 5F004  F---D  00--------
02-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-02  D 2C205  -----00  -----00  D 2FE04  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
02-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-04  D 2C205  -----00  F#5BF05  D 2FE04  -----00  -----00  -----00  F#5F13C  F#5F004  ----D  00--------
02-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-06  D 2C205  -----00  C 5BF05  D 2FE04  -----00  -----00  -----00  C 5F13C  C 5F004  F----  00--------
02-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-08  -----4D  -----00  -----00  D 2FE04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
02-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-10  D 2C205  -----00  -----00  D 2FE04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-12  D 2C205  -----00  -----00  D 2FE04  -----00  -----00  -----00  -----00  -----00  F---D  00--------
02-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-14  D 2C205  -----00  D 5BF05  D 2FE04  -----00  -----00  -----00  D 5F13C  D 5F004  F----  00--------
02-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-16  D 3C205  D 55A2D  A 5BF05  D 3FE04  D 6F104  F#6F104  A 6F104  A 5F13C  A 5F004  F---D  00--------
02-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-18  D 3C205  -----00  -----00  D 3FE04  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
02-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-20  D 3C205  -----00  G 5BF05  D 3FE04  -----00  -----00  -----00  G 5F13C  G 5F004  ----D  00--------
02-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-22  D 3C205  -----00  -----00  D 3FE04  -----00  -----00  -----00  -----00  -----00  F----  00--------
02-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-24  -----4D  -----00  F#5BF05  D 3FE04  -----00  -----00  -----00  F#5F13C  F#5F004  -FF-D  00--------
02-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-26  D 3C205  -----00  -----00  D 3FE04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-27  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-28  D 3C205  -----00  G 5BF05  D 3FE04  -----00  -----00  -----00  G 5F13C  G 5F004  F---D  00--------
02-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-30  D 3C205  -----00  -----00  D 3FE04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-32  A 2C205  A 4482D  E 5BF05  A 2FE04  A 5F104  C 6F104  E 6F104  E 5F13C  E 5F004  F---D  00--------
02-33  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-34  A 2C205  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
02-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
