---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-23  -----00  -----00  D 4C005  -----00  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
01-24  D 2C205  D 55A2F  D 4C205  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  F--FD  00--------
01-25  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-26  D 2C205  -----00  D 4C205  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  ---FD  00--------
01-27  -----00  -----00  D#4C205  -----00  -----00  -----00  -----00  G 6D004  D#6D004  -----  00--------
01-28  ---DB49  D 55A2F  E 4C205  D 2FF04  -----00  -----00  -----00  A 6D004  E 6D004  -FFFD  00--------
01-29  D 3C205  -----00  F#4C205  D 3FF04  -----00  -----00  -----00  A#6D004  F#6D004  -----  00--------
01-30  D 2C205  -----00  G 4C205  D 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  ----D  00--------
01-31  -----00  -----00  G#4C205  -----00  -----00  -----00  -----00  B 6D004  G#6D004  -----  00--------
01-32  A 2C205  A 5482F  A 4C205  A 2FF04  A 5F104  C 6F104  E 6F104  C 7D004  A 6D004  F---D  00--------
01-33  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-34  A 2C205  -----00  A 4C205  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  ----D  00--------
01-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-36  ---DB49  A 5482F  A 4C005  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  -FF-D  00--------
01-37  A 3C205  -----00  A 4C005  A 3FF04  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
01-38  A 2C205  -----00  A 4C205  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  ---FD  00--------
01-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-40  A 2C205  A 5482F  A 4C205  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  F--FD  00--------
01-41  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-42  A 2C205  A 5482F  A 4C005  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  ---FD  00--------
01-43  -----00  -----00  A 4C205  -----00  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
01-44  ---DB49  -----00  G#4C205  A 2FF04  -----00  -----00  -----00  B 6D004  G#6D004  -FFFD  00--------
01-45  A 3C205  -----00  G 4C205  A 3FF04  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
01-46  A 2C205  A 5482F  F#4C205  A 2FF04  -----00  -----00  -----00  A 6D004  F#6D004  ----D  00--------
01-47  -----00  -----00  F 4C205  -----00  -----00  -----00  -----00  G#6D004  F 6D004  -----  00--------
01-48  E 2C205  E 54A2F  E 4C205  E 2FF04  E 5F104  G 5F104  B 5F104  G 6D004  E 6D004  F---D  00--------
01-49  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-50  E 2C205  -----00  E 4C005  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  ----D  00--------
01-51  -----00  -----00  E 4C005  -----00  -----00  -----00  -----00  G 6D004  E 6D004  -----  00--------
01-52  ---DB49  E 54A2F  E 4C205  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  -FF-D  00--------
01-53  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-54  E 2C205  E 54A2F  E 4C205  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  ---FD  00--------
01-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-56  E 2C205  E 54A2F  E 4C005  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  F--FD  00--------
01-57  E 3C205  -----00  E 4C005  E 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-58  ---DB49  -----00  E 4C205  E 2FF04  -----00  -----00  -----00  ----F06  ----F06  -FFFD  00--------
01-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-60  ---DB49  E 54A2F  E 4C205  E 2FF04  -----00  -----00  -----00  -----00  -----00  -FFFD  00--------
01-61  ---DB49  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
01-62  E 2C205  E 54A2F  F 4C205  E 2FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
01-63  ---DB49  -----00  F#4C205  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-00  G 2C205  G 56A2F  D 6C44E  G 2FF04  G 5F104  B 5F104  D 6F104  D 7F004  D 7F004  F---D  41ORCH-L--
02-01  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  ---F116  -----00  -----  00--------
02-02  G 2C205  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
02-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-04  ---DB49  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
02-05  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-06  G 2C205  G 56A2F  E 6C44E  G 2FF04  -----00  -----00  -----00  E 7F13C  E 7F004  ---FD  00--------
02-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-08  G 2C205  G 56A2F  B 5C44E  G 2FF04  -----00  -----00  -----00  B 6F13C  B 6F004  F--FD  00--------
02-09  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-10  G 2C205  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  ---FD  00--------
02-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-12  ---DB49  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  -FFFD  00--------
02-13  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-14  G 2C205  G 56A2F  G 5C44E  G 2FF04  -----00  -----00  -----00  G 6F13C  G 6F004  ----D  00--------
02-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-16  D 2C205  D 55A2F  A 5C44E  D 2FF04  D 5F104  F#5F104  A 5F104  A 6F13C  A 6F004  F---D  00--------
02-17  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-18  D 2C205  -----00  D 5C44E  D 2FF04  -----00  -----00  -----00  D 6F13C  D 6F004  ----D  00--------
02-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-20  ---DB49  -----00  -----00  D 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
02-21  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-22  D 2C205  D 55A2F  -----00  D 2FF04  -----00  -----00  -----00  -----00  -----00  ---FD  00--------
02-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-24  ---DB49  D 55A2F  C 5C44E  D 2FF04  -----00  -----00  -----00  C 6F13C  C 6F004  FFFFD  00--------
02-25  ---DB49  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
02-26  D 2C205  -----00  D 5C44E  D 2FF04  -----00  -----00  -----00  D 6F13C  D 6F004  ---FD  00--------
02-27  ---DB49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
02-28  ---DB49  D 55A2F  E 5C44E  D 2FF04  -----00  -----00  -----00  E 6F13C  E 6F004  -FFFD  00--------
02-29  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-30  ---DB49  -----00  G 5C44E  D 2FF04  -----00  -----00  -----00  G 6F13C  G 6F004  -FF-D  00--------
02-31  ---DB49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
02-32  A 2C205  A 5482F  A 5C44E  A 2FF04  A 5F104  C 6F104  E 6F104  A 6F13C  A 6F004  F---D  00--------
02-33  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-34  A 2C205  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
02-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
