---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-06  G 3C205  G 46A2E  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
01-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-08  G 2C205  G 46A2E  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  ----9  00--------
01-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-10  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
01-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-12  G 2C205  G 46A2E  A 4BF05  G 2FF04  -----00  -----00  -----00  -----00  A 4F004  ----9  00--------
01-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-14  G 3C205  G 46A2E  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
01-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-16  A#2C205  A#4492E  A#4BF05  A#2FF04  A#4F104  C#5F104  F 5F104  -----00  A#4F004  F---9  00--------
01-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-18  A#3C205  -----00  -----00  A#3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
01-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-20  A#2C205  A#4492E  -----00  A#2FF04  -----00  -----00  -----00  -----00  ----F06  F---9  00--------
01-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-22  A#3C205  A#4492E  -----00  A#3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
01-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-24  A#2C205  A#4492E  -----00  A#2FF04  -----00  -----00  -----00  -----00  -----00  ----9  00--------
