---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-28  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  F---D  00--------
01-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-30  F#2C205  -----00  A#6C24E  F#3FF04  -----00  -----00  -----00  F#2F13C  A#6F004  ---FD  00--------
01-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-32  F 2C205  F 46A2D  A 6C24E  F 3FF04  F 5F104  A 5F104  C 6F104  F 2F13C  A 6F004  F---D  00--------
01-33  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-34  F 2C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  ----D  00--------
01-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-36  C 4F44C  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  FFF-D  00--------
01-37  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-38  F 2C205  -----00  G 6C24E  F 3FF04  -----00  -----00  -----00  F 2F13C  G 6F004  ----D  00--------
01-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-40  F 2C205  -----00  A 6C24E  F 3FF04  -----00  -----00  -----00  F 2F13C  A 6F004  F---D  00--------
01-41  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-42  F 2C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  ---FD  00--------
01-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-44  F 2C205  -----00  G 6C24E  F 3FF04  -----00  -----00  -----00  F 2F13C  G 6F004  ----D  00--------
01-45  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-46  F 2C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  F---D  00--------
01-47  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-48  E 2C205  E 44A2D  E 6C24E  E 3FF04  E 5F104  G 5F104  B 5F104  E 2F13C  E 6F004  F---D  00--------
01-49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-50  E 2C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  ----D  00--------
01-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-52  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  FFF-D  00--------
01-53  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-54  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -FF-D  00--------
01-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-56  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  FFF-D  00--------
01-57  C 4F44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
01-58  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -FF-D  00--------
01-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-60  C 4F44C  -----00  A 5CF05  E 3FF04  -----00  -----00  -----00  E 2F13C  A 5F004  -FF-D  00--------
01-61  C 4F44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
01-62  C 4F44C  -----00  ---C00B  E 3FF04  -----00  -----00  -----00  E 2F13C  ---F10B  -FF-D  00--------
01-63  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-00  G 2C205  G 46A2D  B 5C24E  G 3FF04  G 5F104  B 5F104  D 6F104  G 2F13C  B 5F004  F---D  00--------
02-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
