---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 05-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-10  C 4D44C  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
01-11  -----00  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-12  F 2C105  -----00  F#5BF05  F 4FF04  -----00  -----00  -----00  -----00  F#6F004  F--DE  00--------
01-13  G 2C105  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-14  C 4D44C  -----00  E 5BF05  G 4FF04  -----00  -----00  -----00  -----00  E 6F004  -FF-E  00--------
01-15  -----00  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-16  C 2C105  D 45A2D  D 5BF05  C 4FF04  C 3FF04  D 5F104  F#5F104  A 5F104  D 6F004  F--DE  00--------
01-17  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
01-18  C 4D44C  -----00  D 5BF05  D 4FF04  -----00  -----00  -----00  -----00  D 6F004  -FF-E  00--------
01-19  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-20  C 2C105  -----00  D 5BF05  C 4FF04  -----00  -----00  -----00  -----00  D 6F004  F--DE  00--------
01-21  D 2C105  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-22  C 4D44C  -----00  D 5BF05  D 4FF04  -----00  -----00  -----00  -----00  D 6F004  -FF-E  00--------
01-23  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-24  B 1C105  C 4482D  C 5BF05  B 3FF04  B 2FF04  C 5F104  E 5F104  G 5F104  C 6F004  F--DE  00--------
01-25  C 2C105  -----00  -----00  C 4FF04  C 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
01-26  C 4D44C  -----00  D 5BF05  C 4FF04  -----00  -----00  -----00  -----00  D 6F004  -FF-E  00--------
01-27  C 4D44C  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
01-28  C 4D44C  -----00  C 5BF05  B 3FF04  -----00  -----00  -----00  -----00  C 6F004  FFFDE  00--------
01-29  C 4D44C  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
01-30  C 4D44C  -----00  D 5BF05  C 4FF04  -----00  -----00  -----00  -----00  D 6F004  -FF-E  00--------
01-31  C 4D44C  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
01-32  C 4D44C  D 45A2D  D 5BF05  C 4FF04  C 3FF04  D 5F104  F#5F104  A 5F104  D 6F004  FFFDE  00--------
01-33  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
01-34  C 4D44C  -----00  D 5BF05  D 4FF04  -----00  -----00  -----00  -----00  D 6F004  -FF-E  00--------
